CIN,Company_Name,ROC_Code,Registration_Number,Company_Category,Company_SubCategory,Class_of_Company,Date_of_Incorporation,Registered_Address,Registered_State,Registered_Pincode,Email_Id,Whether_Listed,Company_Status,Authorized_Capital_Rs,Paid_up_Capital_Rs,Date_of_Last_AGM,Date_of_Balance_Sheet,Industrial_Activity_Code,Industrial_Activity_Description,Synthetic_Ring_ID,Synthetic_Shell_Ground_Truth
U74999RJ2022PTC100989,Everest Finance Private Limited,ROC-JAIPUR,100990,Company limited by Shares,Non-govt company,Private,11/12/2022,"282, Arcade, Ganesh Marg, Jaipur, Rajasthan - 302075",Rajasthan,302075,everest17@gmail.com,Unlisted,Active,2000000,1298274,03/11/2024,31/03/2024,74999,Other business support service activities n.e.c.,,No
U52290UP2013PLC100922,Vantage Textiles Limited,ROC-KANPUR,100923,Company limited by Shares,Non-govt company,Public,12/07/2013,"605, Complex, Suvidha Nagar, Kanpur, Uttar Pradesh - 208018",Uttar Pradesh,208018,vantage37@gmail.com,Unlisted,Active,500000,435410,24/10/2025,31/03/2025,52290,Other transportation support activities,,No
U74999MH2009PTC100934,Prime Finance Private Limited,ROC-MUMBAI,100935,Company limited by Shares,Non-govt company,Private,17/11/2009,"162, Chambers, Vikram Colony, Mumbai, Maharashtra - 400088",Maharashtra,400088,prime63@gmail.com,Unlisted,Active,2000000,1527488,06/09/2025,31/03/2025,74999,Other business support service activities n.e.c.,,No
U68100UP2018PTC100606,Shakti Chemicals Private Limited,ROC-KANPUR,100607,Company limited by Shares,Non-govt company,Private,12/08/2018,"920, Tower, Trident Layout, Kanpur, Uttar Pradesh - 208088",Uttar Pradesh,208088,shakti19@gmail.com,Unlisted,Active,100000,76397,17/11/2024,31/03/2024,68100,Real estate activities with own/leased property,,No
U14101TG2018PTC100594,Radiant Trading Private Limited,ROC-HYDERABAD,100595,Company limited by Shares,Non-govt company,Private,30/04/2018,"257, Complex, Om Chowk, Hyderabad, Telangana - 500058",Telangana,500058,radiant58@gmail.com,Unlisted,Active,5000000,3930999,19/11/2025,31/03/2025,14101,Manufacture of wearing apparel,,No
U47190GJ2017PTC100612,Metro Services Private Limited,ROC-AHMEDABAD,100613,Company limited by Shares,Non-govt company,Private,28/01/2017,"341, Plaza, Apex Colony, Ahmedabad, Gujarat - 380081",Gujarat,380081,metro94@gmail.com,Unlisted,Active,200000,190169,09/07/2026,31/03/2026,47190,Other retail sale in non-specialized stores,,No
U68100MH2021PLC100095,Lakshmi Investments Limited,ROC-MUMBAI,100096,Company limited by Shares,Non-govt company,Public,25/09/2021,"141, Heights, Trident Layout, Mumbai, Maharashtra - 400029",Maharashtra,400029,lakshmi39@rediffmail.com,Unlisted,Active,20000000,200000,19/11/2022,31/03/2022,68100,Real estate activities with own/leased property,RING-14,Yes
U46900RJ2019PTC100012,Vantage Overseas Private Limited,ROC-JAIPUR,100013,Company limited by Shares,Non-govt company,Private,09/10/2019,"935, Tower, Vishwa Chowk, Jaipur, Rajasthan - 302091",Rajasthan,302091,vantage72@rediffmail.com,Unlisted,Under Process of Striking Off,100000000,100000,14/03/2020,31/03/2020,46900,Wholesale trade (non-specialized),RING-02,Yes
U45201UP2024PTC100397,Global Realty Private Limited,ROC-KANPUR,100398,Company limited by Shares,Non-govt company,Private,04/10/2024,"476, Heights, Aastha Road, Kanpur, Uttar Pradesh - 208054",Uttar Pradesh,208054,global99@gmail.com,Unlisted,Active,500000,354898,06/07/2025,31/03/2026,45201,Maintenance and repair of motor vehicles,,No
U46310GJ2007PTC100534,Horizon Finance Private Limited,ROC-AHMEDABAD,100535,Company limited by Shares,Non-govt company,Private,24/08/2007,"158, Tower, Silver Layout, Ahmedabad, Gujarat - 380058",Gujarat,380058,horizon10@gmail.com,Unlisted,Active,5000000,3010409,14/12/2025,31/03/2025,46310,Wholesale of agricultural raw materials,,No
U62011MH2019PTC100044,Apex Textiles Private Limited,ROC-PUNE,100045,Company limited by Shares,Non-govt company,Private,25/12/2018,"411, Mall, Royal Marg, Pune, Maharashtra - 411029",Maharashtra,411029,apex48@rediffmail.com,Unlisted,Under Process of Striking Off,100000000,200000,,,62011,Computer programming activities,RING-06,Yes
U47190MH2018PLC100043,Apex Merchants Limited,ROC-PUNE,100044,Company limited by Shares,Non-govt company,Public,04/01/2019,"411, Mall, Royal Marg, Pune, Maharashtra - 411029",Maharashtra,411029,apex44@rediffmail.com,Unlisted,Under Process of Striking Off,20000000,500000,,,47190,Other retail sale in non-specialized stores,RING-06,Yes
U14101TG2022PTC100330,Universal Technologies Private Limited,ROC-HYDERABAD,100331,Company limited by Shares,Non-govt company,Private,05/04/2022,"914, Complex, Orion Chowk, Hyderabad, Telangana - 500023",Telangana,500023,universal66@gmail.com,Unlisted,Active,500000,306523,14/09/2025,31/03/2025,14101,Manufacture of wearing apparel,,No
U63990MH2019PTC100168,Vishwa Industries Private Limited,ROC-MUMBAI,100169,Company limited by Shares,Non-govt company,Private,13/02/2019,"794, House, Suvidha Road, Mumbai, Maharashtra - 400097",Maharashtra,400097,vishwa29@gmail.com,Unlisted,Active,200000,186495,24/12/2025,31/03/2026,63990,Other information service activities n.e.c.,,No
U64990WB2024PTC100498,Infinity Consultancy Private Limited,ROC-KOLKATA,100499,Company limited by Shares,Non-govt company,Private,11/06/2024,"893, Complex, Vertex Chowk, Kolkata, West Bengal - 700073",West Bengal,700073,infinity19@gmail.com,Unlisted,Active,5000000,4768769,21/10/2024,31/03/2024,64990,Other financial service activities n.e.c.,,No
U82990TN2007PTC100877,Sunrise Infra Private Limited,ROC-CHENNAI,100878,Company limited by Shares,Non-govt company,Private,27/02/2007,"563, Chambers, Shree Marg, Chennai, Tamil Nadu - 600085",Tamil Nadu,600085,sunrise85@gmail.com,Unlisted,Active,1000000,702428,26/07/2025,31/03/2025,82990,Other business support activities n.e.c.,,No
U47190WB2007PTC100598,Nova Solutions Private Limited,ROC-KOLKATA,100599,Company limited by Shares,Non-govt company,Private,14/11/2007,"371, Arcade, Om Marg, Kolkata, West Bengal - 700096",West Bengal,700096,nova64@gmail.com,Unlisted,Active,5000000,3893730,09/09/2024,31/03/2024,47190,Other retail sale in non-specialized stores,,No
U10610DL2020PTC100757,Elite Agro Private Limited,ROC-DELHI,100758,Company limited by Shares,Non-govt company,Private,28/11/2020,"136, Chambers, Om Lane, New Delhi, Delhi - 110087",Delhi,110087,elite69@gmail.com,Unlisted,Active,200000,186695,14/12/2025,31/03/2025,10610,Manufacture of grain mill products,,No
U46310GJ2020PTC100101,Anmol Systems Private Limited,ROC-AHMEDABAD,100102,Company limited by Shares,Non-govt company,Private,27/12/2020,"772, Arcade, Bharat Chowk, Ahmedabad, Gujarat - 380084",Gujarat,380084,anmol58@rediffmail.com,Unlisted,Under Process of Striking Off,50000000,200000,,,46310,Wholesale of agricultural raw materials,RING-15,Yes
U64990MH2021PTC100427,Platinum Traders Private Limited,ROC-PUNE,100428,Company limited by Shares,Non-govt company,Private,17/11/2021,"265, Arcade, Lakshmi Marg, Pune, Maharashtra - 411027",Maharashtra,411027,platinum28@gmail.com,Unlisted,Active,500000,335610,23/10/2025,31/03/2025,64990,Other financial service activities n.e.c.,,No
U14101HR2013PTC100179,Vinayak Retail Private Limited,ROC-CHANDIGARH,100180,Company limited by Shares,Non-govt company,Private,23/09/2013,"91, Tower, Nova Lane, Gurugram, Haryana - 122057",Haryana,122057,vinayak20@gmail.com,Unlisted,Active,100000,90218,14/11/2025,31/03/2025,14101,Manufacture of wearing apparel,,No
U45201MH2016PTC100445,Vishal Textiles Private Limited,ROC-PUNE,100446,Company limited by Shares,Non-govt company,Private,16/07/2016,"893, Mall, Ashirwad Layout, Pune, Maharashtra - 411094",Maharashtra,411094,vishal22@gmail.com,Unlisted,Active,500000,334313,26/09/2025,31/03/2025,45201,Maintenance and repair of motor vehicles,,No
U46900TG2015PTC100417,Vardhan Solutions Private Limited,ROC-HYDERABAD,100418,Company limited by Shares,Non-govt company,Private,14/03/2015,"436, Arcade, Vishal Road, Hyderabad, Telangana - 500087",Telangana,500087,vardhan67@gmail.com,Unlisted,Active,1000000,826908,10/07/2025,31/03/2025,46900,Wholesale trade (non-specialized),,No
U46310GJ2014PTC100871,Shakti Enterprises Private Limited,ROC-AHMEDABAD,100872,Company limited by Shares,Non-govt company,Private,13/08/2014,"139, Arcade, Anmol Marg, Ahmedabad, Gujarat - 380081",Gujarat,380081,shakti88@gmail.com,Unlisted,Active,5000000,3264634,15/11/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U82990RJ2022PTC100883,Nova Services Private Limited,ROC-JAIPUR,100884,Company limited by Shares,Non-govt company,Private,07/05/2022,"860, Heights, Prime Colony, Jaipur, Rajasthan - 302034",Rajasthan,302034,nova67@gmail.com,Unlisted,Active,500000,403318,10/08/2024,31/03/2024,82990,Other business support activities n.e.c.,,No
U63990WB2005PTC100681,Vishal Solutions Private Limited,ROC-KOLKATA,100682,Company limited by Shares,Non-govt company,Private,19/06/2005,"130, House, Sai Road, Kolkata, West Bengal - 700025",West Bengal,700025,vishal83@gmail.com,Unlisted,Active,5000000,3661698,07/09/2024,31/03/2024,63990,Other information service activities n.e.c.,,No
U82990DL2010PTC100178,Emerald Investments Private Limited,ROC-DELHI,100179,Company limited by Shares,Non-govt company,Private,11/11/2010,"774, Chambers, Skyline Layout, New Delhi, Delhi - 110032",Delhi,110032,emerald57@gmail.com,Unlisted,Active,2000000,1423561,13/12/2025,31/03/2025,82990,Other business support activities n.e.c.,,No
U45201HR2019PTC100396,Radiant Agro Private Limited,ROC-CHANDIGARH,100397,Company limited by Shares,Non-govt company,Private,29/03/2019,"445, Tower, Radiant Lane, Gurugram, Haryana - 122032",Haryana,122032,radiant14@gmail.com,Unlisted,Active,100000,97541,01/08/2024,31/03/2024,45201,Maintenance and repair of motor vehicles,,No
U68100DL2018PLC100912,Elite Industries Limited,ROC-DELHI,100913,Company limited by Shares,Non-govt company,Public,19/02/2018,"314, House, Vikram Colony, New Delhi, Delhi - 110067",Delhi,110067,elite43@gmail.com,Unlisted,Active,5000000,3866385,28/11/2025,31/03/2026,68100,Real estate activities with own/leased property,,No
U70200UP2006PTC100794,National Foods Private Limited,ROC-KANPUR,100795,Company limited by Shares,Non-govt company,Private,16/06/2006,"818, Tower, Falcon Layout, Kanpur, Uttar Pradesh - 208022",Uttar Pradesh,208022,national15@gmail.com,Unlisted,Active,200000,143313,16/07/2025,31/03/2026,70200,Management consultancy activities,,No
U47190HR2007PLC100961,Universal Overseas Limited,ROC-CHANDIGARH,100962,Company limited by Shares,Non-govt company,Public,10/08/2007,"725, Plaza, Sunrise Layout, Gurugram, Haryana - 122071",Haryana,122071,universal20@gmail.com,Unlisted,Active,500000,445788,20/07/2025,31/03/2026,47190,Other retail sale in non-specialized stores,,No
U64990TN2017PTC100685,Platinum Exports Private Limited,ROC-CHENNAI,100686,Company limited by Shares,Non-govt company,Private,27/12/2017,"46, House, Radiant Nagar, Chennai, Tamil Nadu - 600043",Tamil Nadu,600043,platinum98@gmail.com,Unlisted,Active,2000000,1316988,26/11/2025,31/03/2026,64990,Other financial service activities n.e.c.,,No
U64990DL2017PTC100384,Meridian Realty Private Limited,ROC-DELHI,100385,Company limited by Shares,Non-govt company,Private,27/05/2017,"716, Mall, Suvidha Layout, New Delhi, Delhi - 110024",Delhi,110024,meridian12@gmail.com,Unlisted,Active,100000,68619,08/07/2026,31/03/2026,64990,Other financial service activities n.e.c.,,No
U46310PB2007PTC100957,Prime Technologies Private Limited,ROC-CHANDIGARH,100958,Company limited by Shares,Non-govt company,Private,23/03/2007,"371, Heights, Prime Marg, Chandigarh, Punjab - 160052",Punjab,160052,prime13@gmail.com,Unlisted,Active,2000000,1985564,05/11/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U62011UP2016PTC100752,Skyline Logistics Private Limited,ROC-KANPUR,100753,Company limited by Shares,Non-govt company,Private,20/10/2016,"987, Arcade, Shree Chowk, Kanpur, Uttar Pradesh - 208041",Uttar Pradesh,208041,skyline49@gmail.com,Unlisted,Active,2000000,1333205,21/12/2024,31/03/2024,62011,Computer programming activities,,No
U74999TN2025PLC100258,Royal Traders Limited,ROC-CHENNAI,100259,Company limited by Shares,Non-govt company,Public,11/02/2025,"115, Tower, Meridian Chowk, Chennai, Tamil Nadu - 600073",Tamil Nadu,600073,royal21@gmail.com,Unlisted,Active,5000000,4143576,08/08/2024,31/03/2024,74999,Other business support service activities n.e.c.,,No
U14101PB2012PTC100539,Nova Traders Private Limited,ROC-CHANDIGARH,100540,Company limited by Shares,Non-govt company,Private,30/09/2012,"415, House, Vardhan Road, Chandigarh, Punjab - 160040",Punjab,160040,nova62@gmail.com,Unlisted,Active,500000,272172,05/11/2025,31/03/2025,14101,Manufacture of wearing apparel,,No
U47190TN2017PTC100336,Horizon Agro Private Limited,ROC-CHENNAI,100337,Company limited by Shares,Non-govt company,Private,21/05/2017,"152, Arcade, Prime Chowk, Chennai, Tamil Nadu - 600016",Tamil Nadu,600016,horizon92@gmail.com,Unlisted,Active,200000,122392,21/07/2025,31/03/2025,47190,Other retail sale in non-specialized stores,,No
U41001RJ2022PTC100016,Superior Traders Private Limited,ROC-JAIPUR,100017,Company limited by Shares,Non-govt company,Private,08/12/2022,"272, Complex, Continental Road, Jaipur, Rajasthan - 302041",Rajasthan,302041,superior91@rediffmail.com,Unlisted,Active - Non-compliant,25000000,150000,,,41001,Construction of residential/commercial buildings,RING-03,Yes
U74999MH2025PTC100325,Bharat Investments Private Limited,ROC-PUNE,100326,Company limited by Shares,Non-govt company,Private,24/05/2025,"387, Chambers, Elite Road, Pune, Maharashtra - 411025",Maharashtra,411025,bharat32@gmail.com,Unlisted,Active,500000,286582,04/07/2025,31/03/2025,74999,Other business support service activities n.e.c.,,No
U10610PB2010PTC100759,Silver Impex Private Limited,ROC-CHANDIGARH,100760,Company limited by Shares,Non-govt company,Private,25/01/2010,"286, Arcade, Trident Marg, Chandigarh, Punjab - 160078",Punjab,160078,silver96@gmail.com,Unlisted,Active,1000000,839060,23/09/2025,31/03/2025,10610,Manufacture of grain mill products,,No
U10610TN2025PTC100223,Pioneer Ventures Private Limited,ROC-CHENNAI,100224,Company limited by Shares,Non-govt company,Private,13/09/2025,"485, Complex, Vardhan Marg, Chennai, Tamil Nadu - 600094",Tamil Nadu,600094,pioneer47@gmail.com,Unlisted,Active,5000000,3260177,21/07/2025,31/03/2025,10610,Manufacture of grain mill products,,No
U52290TN2016PTC100180,Metro Enterprises Private Limited,ROC-CHENNAI,100181,Company limited by Shares,Non-govt company,Private,14/06/2016,"162, Tower, Zenith Nagar, Chennai, Tamil Nadu - 600055",Tamil Nadu,600055,metro95@gmail.com,Unlisted,Active,5000000,3079177,01/12/2025,31/03/2026,52290,Other transportation support activities,,No
U52290UP2013PTC100984,Apex Constructions Private Limited,ROC-KANPUR,100985,Company limited by Shares,Non-govt company,Private,12/12/2013,"725, House, Nova Road, Kanpur, Uttar Pradesh - 208066",Uttar Pradesh,208066,apex13@gmail.com,Unlisted,Active,100000,89778,03/12/2025,31/03/2026,52290,Other transportation support activities,,No
U14101UP2024PTC100023,Pioneer Industries Private Limited,ROC-KANPUR,100024,Company limited by Shares,Non-govt company,Private,22/07/2024,"309, House, Falcon Marg, Kanpur, Uttar Pradesh - 208048",Uttar Pradesh,208048,pioneer70@rediffmail.com,Unlisted,Active,20000000,150000,,,14101,Manufacture of wearing apparel,RING-04,Yes
U45201UP2010PTC100357,Universal Exports Private Limited,ROC-KANPUR,100358,Company limited by Shares,Non-govt company,Private,17/11/2010,"104, Mall, Sai Nagar, Kanpur, Uttar Pradesh - 208019",Uttar Pradesh,208019,universal72@gmail.com,Unlisted,Active,200000,109277,13/08/2025,31/03/2025,45201,Maintenance and repair of motor vehicles,,No
U45201PB2011PTC100667,Shree Systems Private Limited,ROC-CHANDIGARH,100668,Company limited by Shares,Non-govt company,Private,07/09/2011,"487, Complex, Vikram Nagar, Chandigarh, Punjab - 160064",Punjab,160064,shree85@gmail.com,Unlisted,Active,200000,157933,21/09/2025,31/03/2025,45201,Maintenance and repair of motor vehicles,,No
U70200GJ2010PTC100862,Shree Consultancy Private Limited,ROC-AHMEDABAD,100863,Company limited by Shares,Non-govt company,Private,01/06/2010,"859, Heights, Global Street, Ahmedabad, Gujarat - 380037",Gujarat,380037,shree68@gmail.com,Unlisted,Active,2000000,1365183,18/12/2024,31/03/2024,70200,Management consultancy activities,,No
U41001HR2025PTC100341,Royal Services Private Limited,ROC-CHANDIGARH,100342,Company limited by Shares,Non-govt company,Private,05/12/2025,"805, Mall, Royal Road, Gurugram, Haryana - 122083",Haryana,122083,royal64@gmail.com,Unlisted,Active,5000000,2866472,26/12/2025,31/03/2025,41001,Construction of residential/commercial buildings,,No
U70200KA2016PTC100432,Bharat Textiles Private Limited,ROC-BANGALORE,100433,Company limited by Shares,Non-govt company,Private,14/04/2016,"915, Mall, Radiant Street, Bengaluru, Karnataka - 560032",Karnataka,560032,bharat18@gmail.com,Unlisted,Dormant,5000000,3600109,11/07/2025,31/03/2025,70200,Management consultancy activities,,No
U68100PB2017PTC100552,Royal Merchants Private Limited,ROC-CHANDIGARH,100553,Company limited by Shares,Non-govt company,Private,08/08/2017,"586, Heights, Vikram Road, Chandigarh, Punjab - 160042",Punjab,160042,royal34@gmail.com,Unlisted,Active,1000000,549126,11/11/2025,31/03/2026,68100,Real estate activities with own/leased property,,No
U70200HR2023PTC100834,Royal Commodities Private Limited,ROC-CHANDIGARH,100835,Company limited by Shares,Non-govt company,Private,08/04/2023,"896, Chambers, Shree Street, Gurugram, Haryana - 122075",Haryana,122075,royal53@gmail.com,Unlisted,Active,1000000,713878,27/07/2026,31/03/2026,70200,Management consultancy activities,,No
U82990HR2018PLC100204,Elite Solutions Limited,ROC-CHANDIGARH,100205,Company limited by Shares,Non-govt company,Public,27/09/2018,"994, Arcade, Lakshmi Colony, Gurugram, Haryana - 122067",Haryana,122067,elite79@gmail.com,Unlisted,Active,5000000,4216308,14/08/2024,31/03/2024,82990,Other business support activities n.e.c.,,No
U46900GJ2010PTC100631,Golden Exports Private Limited,ROC-AHMEDABAD,100632,Company limited by Shares,Non-govt company,Private,17/05/2010,"122, Arcade, Golden Nagar, Ahmedabad, Gujarat - 380025",Gujarat,380025,golden46@gmail.com,Unlisted,Active,1000000,935057,19/12/2025,31/03/2026,46900,Wholesale trade (non-specialized),,No
U64990MH2021PTC100094,Lakshmi Exports Private Limited,ROC-MUMBAI,100095,Company limited by Shares,Non-govt company,Private,12/09/2021,"141, Heights, Trident Layout, Mumbai, Maharashtra - 400029",Maharashtra,400029,lakshmi62@rediffmail.com,Unlisted,Active - Non-compliant,10000000,150000,,,64990,Other financial service activities n.e.c.,RING-14,Yes
U62011DL2017PTC100559,Royal Developers Private Limited,ROC-DELHI,100560,Company limited by Shares,Non-govt company,Private,26/09/2017,"296, Plaza, Silver Street, New Delhi, Delhi - 110014",Delhi,110014,royal52@gmail.com,Unlisted,Active - Non-compliant,1000000,877481,18/11/2025,31/03/2026,62011,Computer programming activities,,No
U46900RJ2021PTC100069,Elite Constructions Private Limited,ROC-JAIPUR,100070,Company limited by Shares,Non-govt company,Private,28/11/2021,"536, Complex, Superior Colony, Jaipur, Rajasthan - 302046",Rajasthan,302046,elite33@rediffmail.com,Unlisted,Active - Non-compliant,25000000,150000,,,46900,Wholesale trade (non-specialized),RING-11,Yes
U70200UP2016PTC100623,Trident Traders Private Limited,ROC-KANPUR,100624,Company limited by Shares,Non-govt company,Private,02/06/2016,"173, Mall, Silver Marg, Kanpur, Uttar Pradesh - 208016",Uttar Pradesh,208016,trident32@gmail.com,Unlisted,Active,500000,490361,05/11/2025,31/03/2026,70200,Management consultancy activities,,No
U63990TN2010PTC100285,Falcon Developers Private Limited,ROC-CHENNAI,100286,Company limited by Shares,Non-govt company,Private,11/07/2010,"86, Chambers, Apex Colony, Chennai, Tamil Nadu - 600079",Tamil Nadu,600079,falcon31@gmail.com,Unlisted,Active,2000000,1651550,15/10/2024,31/03/2024,63990,Other information service activities n.e.c.,,No
U10610TN2017PTC100845,Ashirwad Chemicals Private Limited,ROC-CHENNAI,100846,Company limited by Shares,Non-govt company,Private,15/05/2017,"406, Heights, National Layout, Chennai, Tamil Nadu - 600020",Tamil Nadu,600020,ashirwad92@gmail.com,Unlisted,Dormant,200000,157165,28/09/2024,31/03/2024,10610,Manufacture of grain mill products,,No
U63990PB2012PTC100435,Prime Traders Private Limited,ROC-CHANDIGARH,100436,Company limited by Shares,Non-govt company,Private,12/04/2012,"576, Tower, Diamond Lane, Chandigarh, Punjab - 160051",Punjab,160051,prime83@gmail.com,Unlisted,Active,5000000,3534443,07/11/2025,31/03/2026,63990,Other information service activities n.e.c.,,No
U10610WB2016PTC100154,Everest Impex Private Limited,ROC-KOLKATA,100155,Company limited by Shares,Non-govt company,Private,16/04/2016,"746, Heights, Emerald Street, Kolkata, West Bengal - 700053",West Bengal,700053,everest72@gmail.com,Unlisted,Active,500000,291755,15/09/2025,31/03/2025,10610,Manufacture of grain mill products,,No
U47190TG2018PTC100076,Nova Overseas Private Limited,ROC-HYDERABAD,100077,Company limited by Shares,Non-govt company,Private,27/10/2018,"895, Mall, Krishna Nagar, Hyderabad, Telangana - 500057",Telangana,500057,nova73@rediffmail.com,Unlisted,Active - Non-compliant,50000000,500000,06/06/2019,31/03/2019,47190,Other retail sale in non-specialized stores,RING-12,Yes
U70200GJ2013PTC100731,Radiant Commodities Private Limited,ROC-AHMEDABAD,100732,Company limited by Shares,Non-govt company,Private,21/12/2013,"447, Complex, Infinity Chowk, Ahmedabad, Gujarat - 380037",Gujarat,380037,radiant77@gmail.com,Unlisted,Active,1000000,555448,16/07/2025,31/03/2025,70200,Management consultancy activities,,No
U41001UP2021PLC100447,Horizon Merchants Limited,ROC-KANPUR,100448,Company limited by Shares,Non-govt company,Public,23/01/2021,"400, House, Trident Layout, Kanpur, Uttar Pradesh - 208051",Uttar Pradesh,208051,horizon27@gmail.com,Unlisted,Active,2000000,1942191,10/10/2025,31/03/2026,41001,Construction of residential/commercial buildings,,No
U82990TN2022PTC100189,Shree Trading Private Limited,ROC-CHENNAI,100190,Company limited by Shares,Non-govt company,Private,03/01/2022,"10, House, Pioneer Lane, Chennai, Tamil Nadu - 600010",Tamil Nadu,600010,shree80@gmail.com,Unlisted,Active,200000,134388,10/10/2025,31/03/2026,82990,Other business support activities n.e.c.,,No
U68100MH2020PTC100272,Silver Traders Private Limited,ROC-PUNE,100273,Company limited by Shares,Non-govt company,Private,04/10/2020,"302, House, Om Colony, Pune, Maharashtra - 411011",Maharashtra,411011,silver23@gmail.com,Unlisted,Active,1000000,735744,07/08/2024,31/03/2024,68100,Real estate activities with own/leased property,,No
U82990UP2008PTC100237,Sai Consultancy Private Limited,ROC-KANPUR,100238,Company limited by Shares,Non-govt company,Private,10/02/2008,"721, Plaza, Vishwa Road, Kanpur, Uttar Pradesh - 208059",Uttar Pradesh,208059,sai98@gmail.com,Unlisted,Active,5000000,3513400,15/12/2025,31/03/2025,82990,Other business support activities n.e.c.,,No
U46310UP2005PTC100488,Vaibhav Constructions Private Limited,ROC-KANPUR,100489,Company limited by Shares,Non-govt company,Private,04/07/2005,"408, House, Sai Marg, Kanpur, Uttar Pradesh - 208073",Uttar Pradesh,208073,vaibhav65@gmail.com,Unlisted,Active,2000000,1479724,03/08/2026,31/03/2026,46310,Wholesale of agricultural raw materials,,No
U14101UP2009PLC100118,Metro Developers Limited,ROC-KANPUR,100119,Company limited by Shares,Non-govt company,Public,13/01/2009,"817, Arcade, Vaibhav Road, Kanpur, Uttar Pradesh - 208062",Uttar Pradesh,208062,metro96@gmail.com,Unlisted,Active,2000000,1026916,15/08/2024,31/03/2024,14101,Manufacture of wearing apparel,,No
U45201MH2018PTC100944,Vishwa Investments Private Limited,ROC-MUMBAI,100945,Company limited by Shares,Non-govt company,Private,15/03/2018,"985, Heights, Emerald Colony, Mumbai, Maharashtra - 400037",Maharashtra,400037,vishwa40@gmail.com,Unlisted,Active,200000,101625,27/11/2025,31/03/2025,45201,Maintenance and repair of motor vehicles,,No
U46310HR2023PTC100513,Meridian Impex Private Limited,ROC-CHANDIGARH,100514,Company limited by Shares,Non-govt company,Private,27/09/2023,"835, Plaza, Emerald Layout, Gurugram, Haryana - 122044",Haryana,122044,meridian52@gmail.com,Unlisted,Active,2000000,1520048,08/08/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U46310PB2014PTC100826,Prime Systems Private Limited,ROC-CHANDIGARH,100827,Company limited by Shares,Non-govt company,Private,17/05/2014,"452, Chambers, Nova Chowk, Chandigarh, Punjab - 160027",Punjab,160027,prime19@gmail.com,Unlisted,Active - Non-compliant,1000000,589661,20/07/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U64990TG2022PLC100592,Meridian Overseas Limited,ROC-HYDERABAD,100593,Company limited by Shares,Non-govt company,Public,29/08/2022,"560, House, Shakti Lane, Hyderabad, Telangana - 500099",Telangana,500099,meridian84@gmail.com,Unlisted,Active,500000,405636,09/10/2024,31/03/2024,64990,Other financial service activities n.e.c.,,No
U14101TG2024PLC100127,Metro Retail Limited,ROC-HYDERABAD,100128,Company limited by Shares,Non-govt company,Public,14/10/2024,"381, Complex, Om Nagar, Hyderabad, Telangana - 500090",Telangana,500090,metro49@gmail.com,Unlisted,Active - Non-compliant,500000,289744,03/09/2025,31/03/2026,14101,Manufacture of wearing apparel,,No
U62011GJ2026PTC100117,Global Impex Private Limited,ROC-AHMEDABAD,100118,Company limited by Shares,Non-govt company,Private,13/04/2026,"441, Complex, Everest Colony, Ahmedabad, Gujarat - 380087",Gujarat,380087,global98@gmail.com,Unlisted,Active,500000,460403,11/10/2025,31/03/2025,62011,Computer programming activities,,No
U68100MH2024PTC100474,Apex Developers Private Limited,ROC-PUNE,100475,Company limited by Shares,Non-govt company,Private,18/07/2024,"143, Chambers, Vishal Road, Pune, Maharashtra - 411033",Maharashtra,411033,apex21@gmail.com,Unlisted,Active,5000000,4683503,23/07/2025,31/03/2026,68100,Real estate activities with own/leased property,,No
U10610PB2007PLC100694,Falcon Industries Limited,ROC-CHANDIGARH,100695,Company limited by Shares,Non-govt company,Public,17/06/2007,"448, Arcade, Krishna Marg, Chandigarh, Punjab - 160061",Punjab,160061,falcon83@gmail.com,Unlisted,Active,100000,74534,03/08/2024,31/03/2024,10610,Manufacture of grain mill products,,No
U47190TN2022PTC100058,Emerald Technologies Private Limited,ROC-CHENNAI,100059,Company limited by Shares,Non-govt company,Private,18/01/2023,"470, Plaza, Om Layout, Chennai, Tamil Nadu - 600061",Tamil Nadu,600061,emerald62@rediffmail.com,Unlisted,Under Process of Striking Off,10000000,200000,04/11/2021,31/03/2021,47190,Other retail sale in non-specialized stores,RING-09,Yes
U63990TN2021PTC100864,Capital Commodities Private Limited,ROC-CHENNAI,100865,Company limited by Shares,Non-govt company,Private,02/02/2021,"181, Mall, Emerald Lane, Chennai, Tamil Nadu - 600037",Tamil Nadu,600037,capital10@gmail.com,Unlisted,Active - Non-compliant,500000,416804,13/10/2025,31/03/2025,63990,Other information service activities n.e.c.,,No
U14101HR2005PTC100913,Diamond Infra Private Limited,ROC-CHANDIGARH,100914,Company limited by Shares,Non-govt company,Private,30/05/2005,"103, Chambers, Diamond Nagar, Gurugram, Haryana - 122075",Haryana,122075,diamond48@gmail.com,Unlisted,Active,500000,286096,18/12/2024,31/03/2024,14101,Manufacture of wearing apparel,,No
